,genes,bcv
18511,Solyc11g066840.1.1,0.03869969
4428,Solyc02g087880.2.1,0.056572226
12106,Solyc07g008880.2.1,0.04262364
10182,Solyc06g007640.2.1,0.09245074
19950,Solyc12g095990.1.1,0.025492006
1923,Solyc01g099410.2.1,0.189681071
13264,Solyc07g066610.2.1,0.070834544
3463,Solyc02g070340.2.1,0.061904851
16939,Solyc10g078300.1.1,0.040356822
10148,Solyc06g007180.2.1,0.871658557
14758,Solyc09g005720.2.1,0.061308457
6091,Solyc03g098280.2.1,0.062348488
14155,Solyc08g075700.2.1,0.039439663
11139,Solyc06g069010.2.1,0.032106581
3889,Solyc02g080540.1.1,0.146389867
13741,Solyc08g061100.2.1,0.068975928
11493,Solyc06g074980.2.1,0.067453378
2269,Solyc01g104950.2.1,0.12322457
3498,Solyc02g070800.2.1,0.366171274
10397,Solyc06g035450.2.1,0.0362061
19135,Solyc12g010060.1.1,0.042645967
2735,Solyc01g111630.2.1,0.134892011
12203,Solyc07g018360.2.1,0.111919292
15783,Solyc09g082510.2.1,0.101151838
11363,Solyc06g073310.2.1,0.100433901
15704,Solyc09g075360.2.1,0.117623342
4047,Solyc02g082760.2.1,0.154614894
3403,Solyc02g069450.2.1,0.421143073
11358,Solyc06g073260.2.1,0.368452424
15572,Solyc09g066100.2.1,0.038619662
13014,Solyc07g063270.2.1,0.084338761
1244,Solyc01g087500.2.1,0.030166386
9248,Solyc05g013380.2.1,0.179447858
10283,Solyc06g009210.2.1,0.037369688
5607,Solyc03g063560.2.1,0.146913357
3888,Solyc02g080530.2.1,0.098663713
10179,Solyc06g007610.2.1,0.039893638
12828,Solyc07g055320.2.1,0.099214709
16799,Solyc10g055630.1.1,0.024217542
2015,Solyc01g100570.2.1,0.05342352
11266,Solyc06g071790.2.1,0.207841425
657,Solyc01g028860.2.1,0.072033379
18450,Solyc11g066060.1.1,0.267206978
11770,Solyc06g084020.2.1,0.035080335
6494,Solyc03g115820.2.1,0.191560731
15846,Solyc09g083380.2.1,0.102808701
2738,Solyc01g111660.2.1,0.064948661
2213,Solyc01g104170.2.1,0.026446171
16926,Solyc10g077120.1.1,0.090784894
8243,Solyc04g076620.2.1,0.086137428
11185,Solyc06g069730.2.1,0.572425716
16273,Solyc10g006900.2.1,0.178991046
18876,Solyc12g005330.1.1,0.025948205
15807,Solyc09g082830.2.1,0.06207572
16052,Solyc09g092390.2.1,0.033412705
1941,Solyc01g099670.2.1,0.073068595
11296,Solyc06g072300.2.1,0.067504719
12619,Solyc07g051850.2.1,0.064863291
18555,Solyc11g068420.1.1,0.037915015
19237,Solyc12g013710.1.1,0.378026691
16585,Solyc10g044520.1.1,0.260154238
8987,Solyc05g008460.2.1,0.042698237
14553,Solyc08g081250.2.1,0.041684199
9125,Solyc05g010670.2.1,0.086249511
19854,Solyc12g088670.1.1,0.041332321
18221,Solyc11g042930.1.1,0.031780697
18935,Solyc12g006320.1.1,0.090454571
9694,Solyc05g051290.2.1,0.035264743
3989,Solyc02g082000.2.1,0.089222254
15357,Solyc09g057650.2.1,0.046837973
3680,Solyc02g077710.1.1,0.153434067
3437,Solyc02g069850.2.1,0.109166393
7933,Solyc04g063290.2.1,0.06674631
10398,Solyc06g035460.2.1,0.034164892
11683,Solyc06g082930.2.1,0.059705292
13176,Solyc07g065490.2.1,0.112697737
18191,Solyc11g040120.1.1,0.081260999
542,Solyc01g010580.2.1,0.038174376
18110,Solyc11g020960.1.1,0.250367134
337,Solyc01g007320.2.1,0.108588006
17128,Solyc10g080940.1.1,0.031169511
10573,Solyc06g051400.2.1,0.162034891
14876,Solyc09g008280.1.1,0.184772855
13263,Solyc07g066600.2.1,0.028088388
10975,Solyc06g065640.2.1,0.023046506
11082,Solyc06g068230.2.1,0.114413955
13253,Solyc07g066470.2.1,0.191291609
2703,Solyc01g111240.2.1,0.07955316
10507,Solyc06g050170.2.1,0.080386708
1961,Solyc01g099900.2.1,0.044385566
3988,Solyc02g081980.2.1,0.035966616
12353,Solyc07g041310.2.1,0.026601844
2855,Solyc02g020940.2.1,0.23685326
12585,Solyc07g049290.2.1,0.096922471
3704,Solyc02g078040.2.1,0.270348763
909,Solyc01g067890.2.1,0.029777631
2504,Solyc01g108500.2.1,0.025966256
15120,Solyc09g011810.2.1,0.348734649
10971,Solyc06g065590.2.1,0.07874273
8260,Solyc04g076880.2.1,0.053785234
20003,Solyc12g096700.1.1,0.05786628
20144,Solyc12g099970.1.1,0.164443126
12759,Solyc07g054210.2.1,0.087913966
18655,Solyc11g069700.1.1,0.066021496
7184,Solyc04g007550.2.1,0.034857675
12367,Solyc07g041720.1.1,0.587618628
6867,Solyc03g120640.2.1,0.121297735
15029,Solyc09g010400.2.1,0.055275364
19585,Solyc12g042950.1.1,0.03134845
17787,Solyc11g010270.1.1,0.048707643
9849,Solyc05g053670.2.1,0.036568394
11310,Solyc06g072490.2.1,0.099189802
7390,Solyc04g011500.2.1,0.036925915
10024,Solyc05g056050.2.1,0.222550002
13604,Solyc08g016180.2.1,0.052151326
5455,Solyc03g044330.1.1,0.058585652
11352,Solyc06g073180.2.1,0.156312319
7298,Solyc04g009200.2.1,0.076012381
16396,Solyc10g008740.2.1,0.112353064
10082,Solyc06g005160.2.1,0.180140073
15822,Solyc09g083080.2.1,0.058333789
1711,Solyc01g096580.2.1,0.074108569
7806,Solyc04g051800.2.1,0.122248196
1721,Solyc01g096700.2.1,0.038453782
6740,Solyc03g119040.2.1,0.03642034
2647,Solyc01g110440.2.1,0.221974572
8310,Solyc04g077490.2.1,0.070023008
8665,Solyc04g082250.2.1,0.086366586
8669,Solyc04g082290.2.1,0.469510799
273,Solyc01g006430.2.1,0.080062942
13063,Solyc07g063960.2.1,0.39376509
17135,Solyc10g081020.1.1,0.108275692
3699,Solyc02g077990.2.1,0.136463237
19826,Solyc12g088180.1.1,0.87588036
11857,Solyc07g005510.2.1,0.192093128
10635,Solyc06g053450.2.1,0.076380369
4947,Solyc03g005230.2.1,0.121072258
8518,Solyc04g080240.2.1,0.082055483
10598,Solyc06g051810.2.1,0.026251775
14927,Solyc09g009020.2.1,0.067759343
8257,Solyc04g076850.2.1,0.058257946
10750,Solyc06g060340.2.1,0.079731889
6193,Solyc03g111840.2.1,0.208516673
15035,Solyc09g010460.2.1,0.046783135
5134,Solyc03g007810.2.1,0.046279018
10413,Solyc06g035970.2.1,0.038258244
1002,Solyc01g079250.2.1,0.030462288
10913,Solyc06g064630.2.1,0.079110461
19183,Solyc12g010840.1.1,0.052330533
13773,Solyc08g061960.2.1,0.034606345
17812,Solyc11g010600.1.1,0.046887311
12446,Solyc07g043130.2.1,0.24093946
4243,Solyc02g085420.2.1,0.043212336
19624,Solyc12g044600.2.1,0.105001462
14360,Solyc08g078530.2.1,0.083363953
6611,Solyc03g117480.2.1,0.120880916
9776,Solyc05g052600.2.1,0.2186864
15741,Solyc09g075830.2.1,0.081343148
5976,Solyc03g096800.2.1,0.034825391
5836,Solyc03g083970.2.1,0.06397913
3585,Solyc02g072130.2.1,0.042059199
14700,Solyc08g083240.2.1,0.1869322
6228,Solyc03g112360.1.1,0.093964719
8613,Solyc04g081490.2.1,0.030505912
14669,Solyc08g082850.2.1,0.041023403
15709,Solyc09g075430.2.1,0.10239627
3664,Solyc02g077480.1.1,0.178639984
17522,Solyc11g005680.1.1,0.021967364
3905,Solyc02g080810.2.1,0.17885459
18143,Solyc11g028100.1.1,0.030230566
7987,Solyc04g071140.2.1,0.222460128
12719,Solyc07g053650.2.1,0.031750985
11074,Solyc06g068140.2.1,0.053411903
4909,Solyc02g094470.2.1,0.056447353
10115,Solyc06g005710.2.1,0.192716834
9059,Solyc05g009600.2.1,0.024203053
1262,Solyc01g087730.2.1,0.135053248
7337,Solyc04g009770.2.1,0.025265432
17562,Solyc11g006250.1.1,0.279074408
11447,Solyc06g074300.2.1,0.08385158
8620,Solyc04g081570.2.1,0.028018858
5740,Solyc03g082490.2.1,0.068959509
13805,Solyc08g062800.2.1,0.037650176
17909,Solyc11g012110.1.1,0.075615368
204,Solyc01g005440.2.1,0.09899402
2276,Solyc01g105030.2.1,0.085743007
1801,Solyc01g097760.2.1,0.055274217
8305,Solyc04g077440.2.1,0.037873783
8083,Solyc04g072670.2.1,0.05521012
14827,Solyc09g007540.2.1,0.034457983
17485,Solyc11g005170.1.1,0.04786372
12858,Solyc07g055950.2.1,0.212116395
11362,Solyc06g073300.1.1,0.05794814
6176,Solyc03g111640.2.1,0.137475188
15229,Solyc09g018450.2.1,0.064925888
16250,Solyc10g006580.2.1,0.097102983
2975,Solyc02g036350.2.1,0.461833938
19549,Solyc12g042080.1.1,0.025448472
220,Solyc01g005620.2.1,0.031824086
19607,Solyc12g044280.1.1,0.168935998
18763,Solyc11g072190.1.1,0.035179833
17051,Solyc10g079880.1.1,0.02608769
10546,Solyc06g050980.2.1,0.067548557
11622,Solyc06g082090.2.1,0.07357646
15007,Solyc09g010100.2.1,0.035617072
14063,Solyc08g074240.2.1,0.030217079
18841,Solyc11g073250.1.1,0.26222065
17803,Solyc11g010470.1.1,0.066296031
17875,Solyc11g011470.1.1,0.042005642
12999,Solyc07g063100.2.1,0.024479028
1668,Solyc01g096070.2.1,0.035498831
18786,Solyc11g072490.1.1,0.026753118
8590,Solyc04g081240.2.1,0.106572393
11884,Solyc07g005810.2.1,0.030595167
7847,Solyc04g054740.2.1,0.363365296
11848,Solyc07g005390.2.1,0.102138307
11623,Solyc06g082100.2.1,0.100531689
15240,Solyc09g018750.2.1,0.025499307
11904,Solyc07g006030.2.1,0.160218135
19991,Solyc12g096540.1.1,0.038793455
13560,Solyc08g014340.2.1,0.142593406
3458,Solyc02g070260.2.1,0.056237424
2051,Solyc01g101000.2.1,0.041720829
8898,Solyc05g007250.2.1,0.074636049
2560,Solyc01g109300.2.1,0.082643666
13134,Solyc07g064970.2.1,0.024621968
16073,Solyc09g097770.2.1,0.149292764
11200,Solyc06g070980.2.1,0.063658958
16117,Solyc09g098360.2.1,0.024501032
19973,Solyc12g096300.1.1,0.090541134
6143,Solyc03g111230.2.1,0.055079263
11480,Solyc06g074790.1.1,0.178487095
455,Solyc01g008970.2.1,0.033779342
11143,Solyc06g069090.2.1,0.029071165
9461,Solyc05g023800.2.1,0.043269052
17911,Solyc11g012140.1.1,0.04203107
16212,Solyc10g006070.2.1,0.036094267
394,Solyc01g008110.2.1,0.092018066
10802,Solyc06g061070.2.1,0.112614991
7821,Solyc04g054190.2.1,0.190195383
8312,Solyc04g077510.2.1,0.180971706
2067,Solyc01g101240.2.1,0.119116058
13226,Solyc07g066150.1.1,0.22076839
6916,Solyc03g121180.2.1,0.177746657
485,Solyc01g009420.2.1,0.043386123
16871,Solyc10g075100.1.1,0.111835425
5479,Solyc03g045050.2.1,0.052749933
8221,Solyc04g076380.2.1,0.085528659
6661,Solyc03g118040.2.1,0.096121198
15282,Solyc09g031780.2.1,0.071718937
15646,Solyc09g074520.2.1,0.100090141
1062,Solyc01g080020.2.1,0.19066693
20166,Solyc12g100330.1.1,0.065655279
15289,Solyc09g031970.2.1,0.05367119
12637,Solyc07g052350.2.1,0.052756639
6622,Solyc03g117590.2.1,0.344732842
10047,Solyc05g056310.2.1,0.019798585
18870,Solyc12g005270.1.1,0.111506018
9293,Solyc05g013990.2.1,0.11371764
12861,Solyc07g056020.2.1,0.112684825
19681,Solyc12g055800.1.1,0.023491716
14048,Solyc08g069030.2.1,0.159532391
3258,Solyc02g067460.2.1,0.105626608
16136,Solyc10g005050.2.1,0.091187933
16209,Solyc10g006030.2.1,0.311840359
10981,Solyc06g065710.2.1,0.025131285
16727,Solyc10g051110.1.1,0.092874048
17113,Solyc10g080710.1.1,0.060233572
4548,Solyc02g089620.2.1,0.245602813
16915,Solyc10g076990.1.1,0.069343252
9980,Solyc05g055440.1.1,0.129634676
11570,Solyc06g076360.2.1,0.030629365
7837,Solyc04g054480.2.1,0.060954022
14608,Solyc08g082070.2.1,0.058785619
12486,Solyc07g044840.2.1,0.022225096
2233,Solyc01g104470.2.1,0.063655795
17560,Solyc11g006230.1.1,0.150501457
11736,Solyc06g083620.2.1,0.023344354
13404,Solyc08g006930.2.1,0.177228161
9088,Solyc05g009980.2.1,0.023185434
1309,Solyc01g088370.2.1,0.032704099
992,Solyc01g079090.2.1,0.083729023
17953,Solyc11g012770.1.1,0.058969933
3973,Solyc02g081810.2.1,0.152433872
15563,Solyc09g065910.1.1,0.116036046
718,Solyc01g056940.2.1,0.1335809
4979,Solyc03g005750.2.1,0.06024473
11144,Solyc06g069120.2.1,0.11679805
6949,Solyc03g121600.2.1,0.156664875
16692,Solyc10g049710.1.1,0.161058326
16126,Solyc09g098540.2.1,0.036710995
1530,Solyc01g094340.2.1,0.254348248
12075,Solyc07g008370.2.1,0.063295143
7238,Solyc04g008460.2.1,0.057987605
6683,Solyc03g118290.2.1,0.0791479
11665,Solyc06g082670.2.1,0.064953719
19831,Solyc12g088290.1.1,0.033646284
14928,Solyc09g009030.2.1,0.023039054
14110,Solyc08g075090.2.1,0.050034592
13100,Solyc07g064510.2.1,0.029879808
9479,Solyc05g025600.1.1,0.047199188
8776,Solyc05g005620.2.1,0.057053088
2471,Solyc01g108030.2.1,0.320157375
4511,Solyc02g089070.2.1,0.066716238
17737,Solyc11g008620.1.1,0.3066013
1047,Solyc01g079790.2.1,0.289937063
9769,Solyc05g052510.2.1,0.033408623
18454,Solyc11g066110.1.1,0.123149403
11345,Solyc06g073090.2.1,0.22797425
17045,Solyc10g079820.1.1,0.038021519
8571,Solyc04g080960.2.1,0.105815936
8017,Solyc04g071660.2.1,0.037690947
16408,Solyc10g008910.1.1,0.214240044
3750,Solyc02g078640.2.1,0.040838239
12793,Solyc07g054820.2.1,0.17272038
9837,Solyc05g053470.2.1,0.053424172
6888,Solyc03g120850.2.1,0.145851039
1955,Solyc01g099830.2.1,0.07423931
1785,Solyc01g097520.2.1,0.113585608
11005,Solyc06g066060.2.1,0.033207253
17781,Solyc11g010200.1.1,0.045563859
19951,Solyc12g096000.1.1,0.033520145
13731,Solyc08g060810.2.1,0.126806209
17423,Solyc10g086150.1.1,0.292489091
5815,Solyc03g083530.2.1,0.028684251
970,Solyc01g073750.2.1,0.095545708
15671,Solyc09g074940.1.1,0.075890954
11365,Solyc06g073330.2.1,0.019123588
13952,Solyc08g067330.1.1,0.448211835
8784,Solyc05g005710.2.1,0.051323336
17685,Solyc11g007920.1.1,0.23554908
19987,Solyc12g096500.1.1,0.065772928
14560,Solyc08g081320.2.1,0.031953159
6173,Solyc03g111610.2.1,0.567770014
5981,Solyc03g096850.2.1,0.126420327
11000,Solyc06g066000.1.1,0.097696544
14709,Solyc08g083330.2.1,0.17229184
15701,Solyc09g075290.2.1,0.038438886
18148,Solyc11g030600.2.1,0.049133973
5071,Solyc03g007050.2.1,0.10088839
896,Solyc01g067660.2.1,0.280454986
11830,Solyc07g005100.2.1,0.201822362
3523,Solyc02g071180.2.1,0.069726786
6748,Solyc03g119130.2.1,0.063031162
6603,Solyc03g117360.2.1,0.063023425
2040,Solyc01g100870.2.1,0.032518531
15257,Solyc09g020130.2.1,0.032391752
7449,Solyc04g014720.2.1,0.072109556
2610,Solyc01g109940.2.1,0.019969295
17462,Solyc10g086730.1.1,0.240707226
15475,Solyc09g064590.2.1,0.034363405
19211,Solyc12g011280.1.1,0.127480229
6215,Solyc03g112230.2.1,0.080193066
13750,Solyc08g061320.2.1,0.035327958
9085,Solyc05g009930.2.1,0.154638676
2039,Solyc01g100860.2.1,0.039666682
7391,Solyc04g011510.2.1,0.034114417
18202,Solyc11g040370.1.1,0.049563939
14323,Solyc08g078010.2.1,0.313434517
12612,Solyc07g049720.2.1,0.042333397
4697,Solyc02g091840.2.1,0.145562352
13292,Solyc08g005270.2.1,0.10061709
2189,Solyc01g103800.2.1,0.038655837
19785,Solyc12g062870.1.1,0.06200919
18514,Solyc11g066870.1.1,0.06397516
5624,Solyc03g065250.2.1,0.185618142
15815,Solyc09g082990.2.1,0.03720561
9939,Solyc05g054920.2.1,0.046111588
18338,Solyc11g062010.1.1,0.104093542
18842,Solyc11g073260.1.1,0.270390649
8493,Solyc04g079970.2.1,0.066414707
11978,Solyc07g007120.2.1,0.118989661
18172,Solyc11g039650.1.1,0.02322155
8646,Solyc04g081970.2.1,0.33022106
14411,Solyc08g079180.2.1,0.137047354
15183,Solyc09g015080.2.1,0.082018955
9132,Solyc05g010810.1.1,0.164731728
1463,Solyc01g091530.2.1,0.101136722
12148,Solyc07g016150.2.1,0.034909354
9210,Solyc05g012790.2.1,0.036232
6010,Solyc03g097190.2.1,0.049337449
1366,Solyc01g090190.2.1,0.041609687
4297,Solyc02g086160.2.1,0.056591444
516,Solyc01g010050.2.1,0.185801771
3241,Solyc02g067180.2.1,0.05180755
5945,Solyc03g096000.2.1,0.037124637
1950,Solyc01g099760.2.1,0.024962898
2169,Solyc01g103590.2.1,0.348430643
10561,Solyc06g051200.2.1,0.188363713
13155,Solyc07g065210.2.1,0.04012314
17425,Solyc10g086180.1.1,0.069942128
2012,Solyc01g100520.2.1,0.105830947
1193,Solyc01g086750.2.1,0.043866019
8754,Solyc05g005190.2.1,0.057711264
12688,Solyc07g053260.2.1,0.019929107
16719,Solyc10g050860.1.1,0.037383941
9406,Solyc05g017950.2.1,0.032126647
7025,Solyc03g123630.2.1,0.071049598
5446,Solyc03g044150.2.1,0.029029271
20070,Solyc12g098890.1.1,0.181176289
8680,Solyc04g082420.2.1,0.296145749
188,Solyc01g005210.2.1,0.111262071
6367,Solyc03g114150.2.1,0.041245024
5203,Solyc03g025270.2.1,0.078724977
13681,Solyc08g041890.2.1,0.022401904
4525,Solyc02g089260.2.1,0.154372405
14195,Solyc08g076200.2.1,0.026489674
10000,Solyc05g055770.2.1,0.029855358
20157,Solyc12g100160.1.1,0.287989544
8014,Solyc04g071620.2.1,0.163404927
13190,Solyc07g065710.2.1,0.035852627
13767,Solyc08g061850.2.1,0.033632066
9437,Solyc05g018650.2.1,0.140882857
12939,Solyc07g062190.2.1,0.104892798
19595,Solyc12g043110.1.1,0.039830088
4086,Solyc02g083350.2.1,0.09350578
14994,Solyc09g009940.2.1,0.067116311
17235,Solyc10g083280.1.1,0.057095219
13680,Solyc08g041870.2.1,0.067991827
4628,Solyc02g090760.2.1,0.07491196
8985,Solyc05g008440.1.1,0.228472552
14829,Solyc09g007560.2.1,0.182482929
16186,Solyc10g005770.2.1,0.039254142
17136,Solyc10g081030.1.1,0.056845499
4977,Solyc03g005730.2.1,0.06186689
6390,Solyc03g114450.2.1,0.18232437
3496,Solyc02g070780.2.1,0.230041613
1028,Solyc01g079580.2.1,0.132466798
20074,Solyc12g098940.1.1,0.05415712
416,Solyc01g008370.2.1,0.042613959
214,Solyc01g005550.2.1,0.037383077
2683,Solyc01g111020.2.1,0.178958351
8679,Solyc04g082410.2.1,0.217416473
2743,Solyc01g111710.2.1,0.019062436
3112,Solyc02g063130.2.1,0.030339183
5811,Solyc03g083440.2.1,0.089430552
7264,Solyc04g008740.2.1,0.053281975
15679,Solyc09g075020.2.1,0.153176753
11505,Solyc06g075180.1.1,0.090473371
19107,Solyc12g009640.1.1,0.050066065
12395,Solyc07g042250.2.1,0.227469066
12460,Solyc07g043390.2.1,0.125117393
8840,Solyc05g006550.2.1,0.417187733
5715,Solyc03g080160.2.1,0.068720829
2092,Solyc01g102590.2.1,0.051427087
4153,Solyc02g084240.2.1,0.224510212
7782,Solyc04g051370.2.1,0.028203199
11263,Solyc06g071720.1.1,0.03420233
1224,Solyc01g087210.2.1,0.040509653
3232,Solyc02g067050.2.1,0.499278233
7715,Solyc04g049670.2.1,0.022937966
11896,Solyc07g005940.2.1,0.036840966
6927,Solyc03g121330.2.1,0.07268987
1655,Solyc01g095900.2.1,0.228395863
4018,Solyc02g082340.2.1,0.066091734
12869,Solyc07g056140.2.1,0.053001306
17415,Solyc10g086010.1.1,0.071035581
2518,Solyc01g108670.2.1,0.03784269
12915,Solyc07g061900.2.1,0.190582795
6440,Solyc03g115110.2.1,0.059284963
18611,Solyc11g069190.1.1,0.063457968
5188,Solyc03g020020.2.1,0.085528099
2511,Solyc01g108600.2.1,0.154688393
9457,Solyc05g023740.2.1,0.076125703
4131,Solyc02g083900.2.1,0.092736277
1337,Solyc01g088700.2.1,0.075843161
10485,Solyc06g048730.2.1,0.203125509
13687,Solyc08g042050.2.1,0.073849954
10494,Solyc06g048950.2.1,0.077480404
1056,Solyc01g079880.2.1,0.140053397
18628,Solyc11g069380.1.1,0.040282148
10638,Solyc06g053480.2.1,0.04883501
12188,Solyc07g018070.2.1,0.046889152
1539,Solyc01g094460.2.1,0.141315248
15531,Solyc09g065540.2.1,0.289432964
10130,Solyc06g005940.2.1,0.064538566
7321,Solyc04g009510.2.1,0.066997217
878,Solyc01g067390.2.1,0.041785163
4427,Solyc02g087870.2.1,0.251040907
9963,Solyc05g055230.1.1,0.043617915
413,Solyc01g008330.2.1,0.184487667
16042,Solyc09g092250.2.1,0.077135117
675,Solyc01g044360.2.1,0.040378715
11704,Solyc06g083190.2.1,0.029410611
20081,Solyc12g099030.1.1,0.080243557
13127,Solyc07g064890.1.1,0.054803421
4419,Solyc02g087760.2.1,0.042376925
