"","genes","pen$tagwise.dispersion"
"17218","Solyc10g082030.1.1",0.32675244331301
"11859","Solyc07g005530.2.1",0.0584226891755038
"2002","Solyc01g100380.2.1",0.140090841762537
"19747","Solyc12g056830.1.1",0.720398767741378
"2278","Solyc01g105050.2.1",0.526445775698092
"738","Solyc01g057830.2.1",0.250725088584099
"16984","Solyc10g078960.1.1",0.159475509565523
"2834","Solyc02g014310.2.1",0.276142712766544
"19438","Solyc12g035130.1.1",0.0960402389555222
"9322","Solyc05g014470.2.1",0.0812008577137144
"271","Solyc01g006400.2.1",0.550245713791208
"12671","Solyc07g052980.2.1",0.0826508505615594
"10329","Solyc06g011280.2.1",0.113487396002635
"19966","Solyc12g096220.1.1",0.139680370249815
"2591","Solyc01g109660.2.1",0.261777776687998
"18346","Solyc11g062190.1.1",0.0468372079327041
"15891","Solyc09g090140.2.1",0.0456823717544021
"11288","Solyc06g072120.2.1",0.213358121931564
"269","Solyc01g006370.2.1",0.30430677663406
"18511","Solyc11g066840.1.1",0.160111928793647
"4428","Solyc02g087880.2.1",0.717417613049873
"12106","Solyc07g008880.2.1",0.137875143961906
"10182","Solyc06g007640.2.1",0.129031483289366
"19950","Solyc12g095990.1.1",0.0793018563329653
"1923","Solyc01g099410.2.1",0.566594833444741
"13264","Solyc07g066610.2.1",0.396202988788306
"3463","Solyc02g070340.2.1",0.111793387761887
"16939","Solyc10g078300.1.1",0.0810009799405358
"10148","Solyc06g007180.2.1",1.11300974724531
"14758","Solyc09g005720.2.1",0.12413946994159
"6091","Solyc03g098280.2.1",0.236786998889483
"14155","Solyc08g075700.2.1",0.15355272990973
"11139","Solyc06g069010.2.1",0.20495069218611
"3889","Solyc02g080540.1.1",0.595453874545657
"13741","Solyc08g061100.2.1",0.0821894344640326
"11493","Solyc06g074980.2.1",0.0670947504026551
"2269","Solyc01g104950.2.1",0.26839632005605
"3498","Solyc02g070800.2.1",0.238911617322067
"10397","Solyc06g035450.2.1",0.0596668723579934
"19135","Solyc12g010060.1.1",0.157172006665507
"2735","Solyc01g111630.2.1",0.535097560847735
"12203","Solyc07g018360.2.1",0.149516124732211
"15783","Solyc09g082510.2.1",0.234347712632154
"11363","Solyc06g073310.2.1",0.217248429808907
"15704","Solyc09g075360.2.1",0.7713329411514
"4047","Solyc02g082760.2.1",0.660488233684224
"3403","Solyc02g069450.2.1",0.685649810030148
"11358","Solyc06g073260.2.1",0.817756608518142
"15572","Solyc09g066100.2.1",0.22376783837804
"13014","Solyc07g063270.2.1",0.0624303191275949
"1244","Solyc01g087500.2.1",0.681828490665512
"9248","Solyc05g013380.2.1",0.81622759605048
"10283","Solyc06g009210.2.1",0.0961518689385851
"5607","Solyc03g063560.2.1",0.57450500216835
"3888","Solyc02g080530.2.1",0.131886962439844
"10179","Solyc06g007610.2.1",0.882394060754219
"12828","Solyc07g055320.2.1",0.570255254987344
"16799","Solyc10g055630.1.1",0.144984370726375
"2015","Solyc01g100570.2.1",0.256091708384674
"11266","Solyc06g071790.2.1",0.231172174559327
"657","Solyc01g028860.2.1",0.070049649282677
"18450","Solyc11g066060.1.1",0.219151332133333
"11770","Solyc06g084020.2.1",0.102557478207911
"6494","Solyc03g115820.2.1",0.546232615987348
"15846","Solyc09g083380.2.1",0.456738737752241
"2738","Solyc01g111660.2.1",0.0995575402666599
"2213","Solyc01g104170.2.1",0.161962674099264
"16926","Solyc10g077120.1.1",0.551296568944313
"8243","Solyc04g076620.2.1",0.12956034721675
