"","genes","bcv"
"33449","pen_Solyc11g045480.1.1",2.05411913161871
"9608","lyc_Solyc01g006610.1.1",2.044089903
"34585","pen_Solyc04g005600.1.1",2.04136442490493
"11033","lyc_Solyc09g090180.1.1",2.040990165
"30336","pen_Solyc08g081620.2.1",2.03276670169354
"32131","pen_Solyc02g070600.1.1",2.02711003116865
"34421","pen_Solyc04g079700.2.1",2.02453514306491
"10560","lyc_Solyc07g026930.1.1",2.023761627
"45188","hab_Solyc02g072540.2.1",2.022518752
"31694","pen_Solyc01g058030.1.1",2.0135042591353
"26516","pen_Solyc06g066840.2.1",2.01120892241408
"31309","pen_Solyc02g094060.2.1",2.00547120917577
"13488","lyc_Solyc09g098420.1.1",2.001800406
"32820","pen_Solyc10g052490.1.1",1.98787916394522
"49464","hab_Solyc09g009740.1.1",1.984359154
"32559","pen_Solyc06g059920.1.1",1.98117465671224
"5157","lyc_Solyc03g044840.1.1",1.980861969
"23997","pen_Solyc06g059930.2.1",1.97819705830998
"29884","pen_Solyc05g026460.1.1",1.97651939950057
"30370","pen_Solyc07g018140.2.1",1.9734668883266
"27476","pen_Solyc02g072540.2.1",1.96928048789833
"23020","pen_Solyc09g084440.2.1",1.96007993882311
"27677","pen_Solyc07g062840.2.1",1.95313724389467
"27384","pen_Solyc09g072690.1.1",1.9506723763604
"11040","lyc_Solyc04g016550.2.1",1.945838133
"10321","lyc_Solyc06g036620.1.1",1.931723673
"27120","pen_Solyc01g080460.2.1",1.92487964206352
"30054","pen_Solyc12g010030.1.1",1.9234650677601
"31896","pen_Solyc11g012930.1.1",1.92080705810243
"13202","lyc_Solyc06g069900.2.1",1.912716428
"9817","lyc_Solyc02g021260.1.1",1.907048987
"19328","pen_Solyc11g013810.1.1",1.9022862976803
"30261","pen_Solyc06g059730.1.1",1.89829066643539
"28583","pen_Solyc05g007770.2.1",1.89669261440654
"33201","pen_Solyc05g055750.2.1",1.89203948372283
"39310","hab_Solyc09g089690.2.1",1.881530532
"32845","pen_Solyc03g096660.1.1",1.86709091439684
"26185","pen_Solyc05g024260.2.1",1.86262193709058
"32720","pen_Solyc06g071650.1.1",1.85789918873338
"27991","pen_Solyc06g068040.2.1",1.85533748853402
"19565","pen_Solyc02g084410.2.1",1.8512656409303
"34262","pen_Solyc02g092110.2.1",1.84602283503891
"35326","pen_Solyc08g068170.1.1",1.84392455135338
"33718","pen_Solyc01g094120.2.1",1.84301014800188
"3420","lyc_Solyc12g056390.1.1",1.841194922
"8102","lyc_Solyc01g099020.2.1",1.840577574
"37839","hab_Solyc03g097870.2.1",1.839811485
"33533","pen_Solyc01g005400.2.1",1.83925410153013
"50088","hab_Solyc11g069960.1.1",1.834148423
"48420","hab_Solyc03g013440.2.1",1.83410308
"33787","pen_Solyc10g081700.1.1",1.82806838301515
"33291","pen_Solyc09g097930.2.1",1.81927589011245
"6103","lyc_Solyc04g007290.2.1",1.819271296
"32496","pen_Solyc12g009300.1.1",1.81285534511462
"31305","pen_Solyc11g016970.1.1",1.81075137262865
"49579","hab_Solyc06g008590.2.1",1.805858872
"14664","lyc_Solyc11g069960.1.1",1.80480068
"44437","hab_Solyc02g090840.2.1",1.800698696
"15626","lyc_Solyc02g091310.1.1",1.800504892
"2415","lyc_Solyc03g097870.2.1",1.790580711
"32794","pen_Solyc03g031530.2.1",1.7891318461268
"10313","lyc_Solyc08g062220.2.1",1.786137637
"18837","pen_Solyc06g072350.2.1",1.78037498608813
"34133","pen_Solyc09g011580.2.1",1.77971134195102
"32644","pen_Solyc08g076080.2.1",1.7782788608644
"13775","lyc_Solyc06g074320.2.1",1.77381967
"41527","hab_Solyc04g007290.2.1",1.763921668
"31280","pen_Solyc04g079210.2.1",1.76087410434501
"23903","pen_Solyc09g084480.2.1",1.75719241706579
"48862","hab_Solyc07g005370.2.1",1.753417683
"27385","pen_Solyc10g007830.1.1",1.75330595297123
"32584","pen_Solyc07g052220.1.1",1.75085125589597
"14287","lyc_Solyc06g069880.1.1",1.744787571
"31053","pen_Solyc11g027790.1.1",1.73828690528373
"33433","pen_Solyc06g008300.2.1",1.73532864186546
"29820","pen_Solyc12g089220.1.1",1.73481634615505
"51122","hab_Solyc02g079240.1.1",1.73402516
"20127","pen_Solyc03g097870.2.1",1.72613266030217
"45157","hab_Solyc08g081400.2.1",1.722702601
"34198","pen_Solyc12g013620.1.1",1.71512181138194
"34741","pen_Solyc11g020930.1.1",1.69563519629715
"46020","hab_Solyc02g055370.2.1",1.693100086
"30764","pen_Solyc08g023660.2.1",1.69097697220973
"43083","hab_Solyc03g118160.1.1",1.690461393
"23146","pen_Solyc02g092860.2.1",1.69006565476723
"49015","hab_Solyc09g025280.1.1",1.688341677
"43717","hab_Solyc08g005960.1.1",1.683975864
"35454","hab_Solyc02g086820.2.1",1.675112335
"7659","lyc_Solyc03g118160.1.1",1.674592421
"22739","pen_Solyc01g017600.2.1",1.6734069749632
"30422","pen_Solyc01g102850.1.1",1.67092646826999
"30916","pen_Solyc12g009920.1.1",1.66947346330042
"25095","pen_Solyc10g011940.1.1",1.65479032516501
"30914","pen_Solyc06g069900.2.1",1.6505316467736
"25788","pen_Solyc08g006240.1.1",1.64867099507302
"12993","lyc_Solyc11g008420.1.1",1.642977527
"29707","pen_Solyc03g025720.2.1",1.64186815121908
"32214","pen_Solyc11g072100.1.1",1.6390263961848
"26543","pen_Solyc05g013630.1.1",1.63799843512296
"11863","lyc_Solyc07g032490.2.1",1.635012054
"21872","pen_Solyc09g006010.2.1",1.63214099939139
"29358","pen_Solyc02g070620.2.1",1.63158247736281
"46581","hab_Solyc03g097590.2.1",1.624093432
"30864","pen_Solyc02g077430.2.1",1.62329979941752
"25371","pen_Solyc03g118160.1.1",1.6223204905336
"24466","pen_Solyc04g005540.2.1",1.62089444990126
"24634","pen_Solyc04g008210.1.1",1.62049341342811
"37051","hab_Solyc01g006580.2.1",1.618986877
"41529","hab_Solyc07g017400.2.1",1.615858413
"6390","lyc_Solyc02g014860.2.1",1.608335699
"13663","lyc_Solyc01g100600.2.1",1.604941717
"34712","pen_Solyc08g079900.1.1",1.60332515434933
"42346","hab_Solyc04g008210.1.1",1.60319642
"43029","hab_Solyc07g026960.2.1",1.602438826
"13334","lyc_Solyc01g105870.2.1",1.594334598
"24947","pen_Solyc09g008670.2.1",1.59084436582617
"32083","pen_Solyc10g085140.1.1",1.5806014842769
"9910","lyc_Solyc06g072480.1.1",1.57635246
"48619","hab_Solyc02g081360.2.1",1.57415461
"33027","pen_Solyc04g007960.2.1",1.57327278407683
"27407","pen_Solyc01g109170.2.1",1.57214905264753
"52203","hab_Solyc02g091830.2.1",1.571112667
"51514","hab_Solyc05g025890.1.1",1.57110303
"22962","pen_Solyc09g018170.2.1",1.5705245524605
"20569","pen_Solyc06g006110.2.1",1.56921986286549
"34767","pen_Solyc06g075650.2.1",1.56801919053731
"23492","pen_Solyc06g061200.1.1",1.56735040291663
"32972","pen_Solyc10g054820.1.1",1.5590885963696
"32617","pen_Solyc07g008020.2.1",1.55554763757715
"16545","lyc_Solyc01g006380.2.1",1.552481424
"29561","pen_Solyc00g071180.2.1",1.54968326266518
"16236","lyc_Solyc01g006790.2.1",1.547329472
"15573","lyc_Solyc10g079460.1.1",1.541748527
"32010","pen_Solyc03g093180.1.1",1.54085152741208
"49390","hab_Solyc08g075790.2.1",1.537008643
"15852","lyc_Solyc10g080570.1.1",1.536895469
"32161","pen_Solyc11g042860.1.1",1.53569651622543
"33083","pen_Solyc06g068350.1.1",1.53520697242965
"37714","hab_Solyc11g044910.1.1",1.53103199
"50532","hab_Solyc10g052490.1.1",1.528031003
"32011","pen_Solyc01g104720.2.1",1.52773906241557
"19169","pen_Solyc01g091170.2.1",1.52575125604775
"32673","pen_Solyc12g099780.1.1",1.52509550227149
"28261","pen_Solyc01g111080.2.1",1.52331950469
"28526","pen_Solyc05g007470.2.1",1.52198278704469
