,genes,bcv
18511,Solyc11g066840.1.1,0.067739403
4428,Solyc02g087880.2.1,0.087921591
12106,Solyc07g008880.2.1,0.066152188
10182,Solyc06g007640.2.1,0.097087595
19950,Solyc12g095990.1.1,0.028210301
1923,Solyc01g099410.2.1,0.180211397
13264,Solyc07g066610.2.1,0.248683741
3463,Solyc02g070340.2.1,0.047483958
16939,Solyc10g078300.1.1,0.032628207
10148,Solyc06g007180.2.1,0.785060611
14758,Solyc09g005720.2.1,0.069005109
6091,Solyc03g098280.2.1,0.090673748
14155,Solyc08g075700.2.1,0.055081544
11139,Solyc06g069010.2.1,0.052600386
3889,Solyc02g080540.1.1,0.369017525
13741,Solyc08g061100.2.1,0.091683976
11493,Solyc06g074980.2.1,0.065897796
2269,Solyc01g104950.2.1,0.155347836
3498,Solyc02g070800.2.1,0.342758814
10397,Solyc06g035450.2.1,0.042869083
19135,Solyc12g010060.1.1,0.05825687
2735,Solyc01g111630.2.1,0.297397189
12203,Solyc07g018360.2.1,0.182761122
15783,Solyc09g082510.2.1,0.109217926
11363,Solyc06g073310.2.1,0.092656253
15704,Solyc09g075360.2.1,0.152086109
4047,Solyc02g082760.2.1,0.315063423
3403,Solyc02g069450.2.1,0.403125423
11358,Solyc06g073260.2.1,0.765978156
15572,Solyc09g066100.2.1,0.052107541
13014,Solyc07g063270.2.1,0.035465657
1244,Solyc01g087500.2.1,0.064190653
9248,Solyc05g013380.2.1,0.43825776
10283,Solyc06g009210.2.1,0.067477671
5607,Solyc03g063560.2.1,0.291115447
3888,Solyc02g080530.2.1,0.064708266
10179,Solyc06g007610.2.1,0.059875782
12828,Solyc07g055320.2.1,0.253680842
16799,Solyc10g055630.1.1,0.054979964
2015,Solyc01g100570.2.1,0.099044245
11266,Solyc06g071790.2.1,0.345352393
657,Solyc01g028860.2.1,0.074040454
18450,Solyc11g066060.1.1,0.161576694
11770,Solyc06g084020.2.1,0.039412955
6494,Solyc03g115820.2.1,0.391693613
15846,Solyc09g083380.2.1,0.113328517
2738,Solyc01g111660.2.1,0.078597236
2213,Solyc01g104170.2.1,0.06658895
16926,Solyc10g077120.1.1,0.253811687
8243,Solyc04g076620.2.1,0.104130527
11185,Solyc06g069730.2.1,0.582847102
16273,Solyc10g006900.2.1,0.36545301
18876,Solyc12g005330.1.1,0.043278932
15807,Solyc09g082830.2.1,0.059559148
16052,Solyc09g092390.2.1,0.040588389
1941,Solyc01g099670.2.1,0.071302354
11296,Solyc06g072300.2.1,0.077579379
12619,Solyc07g051850.2.1,0.10540275
18555,Solyc11g068420.1.1,0.07334378
19237,Solyc12g013710.1.1,0.605424151
16585,Solyc10g044520.1.1,0.597651374
8987,Solyc05g008460.2.1,0.036303018
14553,Solyc08g081250.2.1,0.03179108
9125,Solyc05g010670.2.1,0.129276683
19854,Solyc12g088670.1.1,0.101008179
18221,Solyc11g042930.1.1,0.038041613
18935,Solyc12g006320.1.1,0.082011388
9694,Solyc05g051290.2.1,0.074385228
3989,Solyc02g082000.2.1,0.104671971
15357,Solyc09g057650.2.1,0.060844737
3680,Solyc02g077710.1.1,0.120248196
3437,Solyc02g069850.2.1,0.154286297
7933,Solyc04g063290.2.1,0.060248839
10398,Solyc06g035460.2.1,0.068316711
11683,Solyc06g082930.2.1,0.089627352
13176,Solyc07g065490.2.1,0.141046899
18191,Solyc11g040120.1.1,0.117594113
542,Solyc01g010580.2.1,0.045750261
18110,Solyc11g020960.1.1,0.44999209
337,Solyc01g007320.2.1,0.327322287
17128,Solyc10g080940.1.1,0.088901847
10573,Solyc06g051400.2.1,0.242503478
14876,Solyc09g008280.1.1,0.147245152
13263,Solyc07g066600.2.1,0.05647902
10975,Solyc06g065640.2.1,0.040150231
11082,Solyc06g068230.2.1,0.162750178
13253,Solyc07g066470.2.1,0.224719621
2703,Solyc01g111240.2.1,0.113570515
10507,Solyc06g050170.2.1,0.13520977
1961,Solyc01g099900.2.1,0.060078244
3988,Solyc02g081980.2.1,0.051611707
12353,Solyc07g041310.2.1,0.041040993
2855,Solyc02g020940.2.1,0.529415596
12585,Solyc07g049290.2.1,0.052985418
3704,Solyc02g078040.2.1,0.464624302
909,Solyc01g067890.2.1,0.097877363
2504,Solyc01g108500.2.1,0.047569544
15120,Solyc09g011810.2.1,0.734830867
10971,Solyc06g065590.2.1,0.05764669
8260,Solyc04g076880.2.1,0.275096229
20003,Solyc12g096700.1.1,0.08811226
20144,Solyc12g099970.1.1,0.279364025
12759,Solyc07g054210.2.1,0.175366409
18655,Solyc11g069700.1.1,0.08619613
7184,Solyc04g007550.2.1,0.033943109
12367,Solyc07g041720.1.1,0.740698375
6867,Solyc03g120640.2.1,0.294974863
15029,Solyc09g010400.2.1,0.050242713
19585,Solyc12g042950.1.1,0.072109785
17787,Solyc11g010270.1.1,0.079548346
9849,Solyc05g053670.2.1,0.050510754
11310,Solyc06g072490.2.1,0.092850462
7390,Solyc04g011500.2.1,0.087098014
10024,Solyc05g056050.2.1,0.545736425
13604,Solyc08g016180.2.1,0.045104147
5455,Solyc03g044330.1.1,0.066878088
11352,Solyc06g073180.2.1,0.205775529
7298,Solyc04g009200.2.1,0.260583873
16396,Solyc10g008740.2.1,0.221877357
10082,Solyc06g005160.2.1,0.176291524
15822,Solyc09g083080.2.1,0.103272991
1711,Solyc01g096580.2.1,0.091743914
7806,Solyc04g051800.2.1,0.322754602
1721,Solyc01g096700.2.1,0.037442237
6740,Solyc03g119040.2.1,0.052570067
2647,Solyc01g110440.2.1,0.168832237
8310,Solyc04g077490.2.1,0.208077853
8665,Solyc04g082250.2.1,0.231679396
8669,Solyc04g082290.2.1,0.630428574
273,Solyc01g006430.2.1,0.070877827
13063,Solyc07g063960.2.1,0.408585579
17135,Solyc10g081020.1.1,0.113361107
3699,Solyc02g077990.2.1,0.333084837
19826,Solyc12g088180.1.1,0.052366777
11857,Solyc07g005510.2.1,0.410108442
10635,Solyc06g053450.2.1,0.098921812
4947,Solyc03g005230.2.1,0.229015983
8518,Solyc04g080240.2.1,0.099260287
10598,Solyc06g051810.2.1,0.039663547
14927,Solyc09g009020.2.1,0.070343677
8257,Solyc04g076850.2.1,0.063175837
10750,Solyc06g060340.2.1,0.210652803
6193,Solyc03g111840.2.1,0.338642942
15035,Solyc09g010460.2.1,0.07176735
5134,Solyc03g007810.2.1,0.056077142
10413,Solyc06g035970.2.1,0.053313805
1002,Solyc01g079250.2.1,0.039176578
10913,Solyc06g064630.2.1,0.073397321
19183,Solyc12g010840.1.1,0.06711471
13773,Solyc08g061960.2.1,0.042841566
17812,Solyc11g010600.1.1,0.039146233
12446,Solyc07g043130.2.1,0.348147217
4243,Solyc02g085420.2.1,0.065663563
19624,Solyc12g044600.2.1,0.15483
14360,Solyc08g078530.2.1,0.099741423
6611,Solyc03g117480.2.1,0.209700286
9776,Solyc05g052600.2.1,0.461688968
15741,Solyc09g075830.2.1,0.069454251
5976,Solyc03g096800.2.1,0.052622538
5836,Solyc03g083970.2.1,0.121321308
3585,Solyc02g072130.2.1,0.041456836
14700,Solyc08g083240.2.1,0.281517427
6228,Solyc03g112360.1.1,0.129406902
8613,Solyc04g081490.2.1,0.047427315
14669,Solyc08g082850.2.1,0.047771778
15709,Solyc09g075430.2.1,0.111990787
3664,Solyc02g077480.1.1,0.189474777
17522,Solyc11g005680.1.1,0.050256961
3905,Solyc02g080810.2.1,0.371254456
18143,Solyc11g028100.1.1,0.053377852
7987,Solyc04g071140.2.1,0.195128461
12719,Solyc07g053650.2.1,0.031375396
11074,Solyc06g068140.2.1,0.085000253
4909,Solyc02g094470.2.1,0.077561543
10115,Solyc06g005710.2.1,0.312037961
9059,Solyc05g009600.2.1,0.033666503
1262,Solyc01g087730.2.1,0.294624318
7337,Solyc04g009770.2.1,0.03735508
17562,Solyc11g006250.1.1,0.217013765
11447,Solyc06g074300.2.1,0.085461038
8620,Solyc04g081570.2.1,0.054634438
5740,Solyc03g082490.2.1,0.073376222
13805,Solyc08g062800.2.1,0.036741169
17909,Solyc11g012110.1.1,0.073419118
204,Solyc01g005440.2.1,0.097833472
2276,Solyc01g105030.2.1,0.237392347
1801,Solyc01g097760.2.1,0.065798482
8305,Solyc04g077440.2.1,0.05608977
8083,Solyc04g072670.2.1,0.047482425
14827,Solyc09g007540.2.1,0.031468209
17485,Solyc11g005170.1.1,0.051753205
12858,Solyc07g055950.2.1,0.224006648
11362,Solyc06g073300.1.1,0.089131381
6176,Solyc03g111640.2.1,0.288113801
15229,Solyc09g018450.2.1,0.082746702
